,0
MinTemp,-0.003814137816488902
MaxTemp,0.0018780518225863995
Rainfall,-0.0030822161473617413
Evaporation,6.485471481387286e-05
Sunshine,0.012015556561996241
WindSpeed9am,0.002436068609594705
WindSpeed3pm,0.0025396614940013306
Humidity9am,-0.001027791678354518
Humidity3pm,-0.011077161582176344
Pressure9am,-0.0024523912266842533
Pressure3pm,0.0014854173847309781
Cloud9am,-0.002275373977517007
Cloud3pm,-0.0024662640291501347
Temp9am,0.003967775602127019
Temp3pm,0.0016314040642733476
RainToday,0.0009660338523328477
ENE_A,-7.230616666110921e-05
ESE_A,1.701684966802793e-05
E_A,-0.00017476267708221833
NE_A,0.0003447903497885055
NNE_A,0.0002675044822132989
NNW_A,0.00032492276790383053
NW_A,3.447298405946723e-05
N_A,-0.00020651097751527654
SE_A,0.0001226275359366016
SSE_A,-0.0007307186875781657
SSW_A,0.0003663546138749274
SW_A,-8.782930363292492e-05
S_A,-0.0005166539132915991
WNW_A,0.00038229195704980615
WSW_A,0.0006633660828170891
W_A,-0.00041289938420466807
ENE_B,0.00010009373705887278
ESE_B,-3.705150384371116e-05
E_B,-5.0338470504619645e-05
NE_B,-0.00043610881151861136
NNE_B,0.00037187790173505057
NNW_B,-0.0011304485423087394
NW_B,0.00043781005390466915
N_B,-0.00013606281567249385
SE_B,-0.00012789207154093705
SSE_B,-0.0018357164184691797
SSW_B,0.0006917591763818498
SW_B,-0.0010661116290954919
S_B,0.0007579508574652032
WNW_B,0.0006838303766353528
WSW_B,0.001037131079884832
W_B,2.9670014346908338e-05
Spring,0.000701405415094403
Summer,-0.003990239707182141
Autumn,1.4338343562467493e-05
Winter,-0.0009953158907592297
