,0
MinTemp,-0.000448404927200596
MaxTemp,0.00012129224200598362
Rainfall,-0.0022548947636447875
Evaporation,-0.00029797676923691324
Sunshine,-0.0018243039827054142
WindSpeed9am,0.0032345773701709913
WindSpeed3pm,0.0009143830747067053
Humidity9am,-0.0017313967697075953
Humidity3pm,-0.0020970863076093392
Pressure9am,-0.0034163528716070874
Pressure3pm,-0.00737468033337462
Cloud9am,-0.0016385918002534284
Cloud3pm,-0.005792157926503165
Temp9am,-0.0007590331062143075
Temp3pm,-0.0011621589490416362
RainToday,-0.0014411265681113746
ENE_A,-1.2166098594791424e-05
ESE_A,-9.593766138290715e-06
E_A,3.817443899037883e-05
NE_A,-0.00015118843605120823
NNE_A,0.00024084772579246544
NNW_A,0.00024822652181589084
NW_A,5.9013234996466675e-05
N_A,0.0018509642560953783
SE_A,5.42996796104447e-05
SSE_A,0.0001328695358495953
SSW_A,0.0009760567312213982
SW_A,-0.00019432566104491303
S_A,-0.00029195743416526903
WNW_A,-0.0002012056042999481
WSW_A,4.679797793117325e-05
W_A,-1.5045265952314917e-05
ENE_B,9.136121336305286e-07
ESE_B,6.372250733176133e-05
E_B,6.510496436529184e-06
NE_B,-0.0002494014352414679
NNE_B,-0.0002799038678716461
NNW_B,-0.00011209783833768726
NW_B,-5.727396626866552e-05
N_B,0.0004462934486656896
SE_B,0.00025063357756829186
SSE_B,0.000517684483596916
SSW_B,-0.0002939717175891348
SW_B,-0.0008524146690875713
S_B,-0.00015623693275256187
WNW_B,0.0005771238442549211
WSW_B,-0.0001821298902221029
W_B,-0.000182774893302692
Spring,0.0020772077136242493
Summer,0.00043764906330673043
Autumn,0.0002266659800078761
Winter,0.00012214549817144872
